    1000      0.04028     11.435  5.629e-02  1.854e-03  1.124e-03
    2000      0.09476     22.781  5.736e-02  8.805e-04  7.356e-04
    3000      0.14939     34.100  4.760e-02  5.362e-04  3.179e-04
    4000      0.20420     45.427  4.444e-02  3.189e-04  1.201e-04
    5000      0.25898     56.745  4.550e-02  3.509e-04  7.915e-05
    6000      0.31376     68.074  4.439e-02  3.288e-04  7.736e-05
    7000      0.36855     79.401  4.615e-02  3.184e-04  5.307e-05
    8000      0.42332     90.733  4.522e-02  3.324e-04  5.194e-05
    9000      0.47810    102.057  4.524e-02  3.288e-04  4.775e-05
   10000      0.53288    113.381  4.563e-02  3.301e-04  4.601e-05
   11000      0.58766    124.699  4.520e-02  3.338e-04  4.669e-05
   12000      0.64244    136.026  4.537e-02  3.341e-04  4.635e-05
   13000      0.69722    147.373  4.543e-02  3.365e-04  4.865e-05
   14000      0.75201    158.697  4.531e-02  3.385e-04  4.930e-05
   15000      0.80679    170.043  4.539e-02  3.401e-04  5.014e-05
   16000      0.86157    181.361  4.537e-02  3.422e-04  5.145e-05
   17000      0.91636    192.689  4.535e-02  3.440e-04  5.214e-05
   18000      0.97114    203.999  4.537e-02  3.458e-04  5.313e-05
   19000      1.02592    215.330  4.536e-02  3.478e-04  5.403e-05
   20000      1.08071    226.667  4.536e-02  3.496e-04  5.478e-05
   21000      1.13549    237.990  4.537e-02  3.515e-04  5.565e-05
   22000      1.19028    249.319  4.537e-02  3.534e-04  5.644e-05
   23000      1.24506    260.638  4.537e-02  3.552e-04  5.720e-05
   24000      1.29985    271.960  4.537e-02  3.571e-04  5.799e-05
   25000      1.35463    283.286  4.537e-02  3.590e-04  5.873e-05
   26000      1.40942    294.618  4.537e-02  3.608e-04  5.948e-05
   27000      1.46420    305.930  4.537e-02  3.627e-04  6.023e-05
   28000      1.51899    317.238  4.537e-02  3.645e-04  6.096e-05
   29000      1.57377    328.540  4.537e-02  3.663e-04  6.169e-05
   30000      1.62856    339.849  4.537e-02  3.681e-04  6.241e-05
   31000      1.68334    351.168  4.537e-02  3.699e-04  6.316e-05
   32000      1.73813    362.492  4.537e-02  3.716e-04  6.391e-05
   33000      1.79292    373.795  4.537e-02  3.734e-04  6.465e-05
   34000      1.84770    385.112  4.537e-02  3.751e-04  6.539e-05
   35000      1.90249    396.422  4.537e-02  3.768e-04  6.614e-05
