10 0.000004,  3.107137982054414493 -0.098907158413865631   3.617428619525516531  0.000388457362879129   6.724566601579931024 -0.098518701050986507
10 0.000004,  3.107137982054414493 -0.098907158413865631   3.617428619525516531  0.000388457362879129   6.724566601579931024 -0.098518701050986507
10 0.000001,  3.107137982054414493 -0.098907158413865631   3.617428619525521860  0.000388457362879224   6.724566601579936354 -0.098518701050986410
10 0.000001,  3.107137982054414493 -0.098907158413865631   3.617428619525516531  0.000388457362879129   6.724566601579931024 -0.098518701050986507
10 0.000001,  3.107137982054414493 -0.098907158413865631   3.617428619525516531  0.000388457362879129   6.724566601579931024 -0.098518701050986507
10 0.000001,  3.107137982054414493 -0.098907158413865631   3.617428619525516531  0.000388457362879129   6.724566601579931024 -0.098518701050986507
10 0.000001,  3.107137982054414493 -0.098907158413865631   3.617428619525516531  0.000388457362879129   6.724566601579931024 -0.098518701050986507
100 0.000412,  5.519209624345627674 -0.082603554510759736   3.272808738798641315  0.001686739445136842   8.792018363144268989 -0.080916815065622899
100 0.000412,  5.519209624345627674 -0.082603554510759736   3.272808738798641315  0.001686739445136842   8.792018363144268989 -0.080916815065622899
100 0.000008,  5.519209624345627674 -0.082603554510759736   3.272808738798641315  0.001686739445136842   8.792018363144268989 -0.080916815065622899
100 0.000008,  5.519209624345627674 -0.082603554510760180   3.272808738798641315  0.001686739445136967   8.792018363144268989 -0.080916815065623218
100 0.000008,  5.519209624345627674 -0.082603554510760180   3.272808738798641315  0.001686739445136967   8.792018363144268989 -0.080916815065623218
100 0.000008,  5.519209624345627674 -0.082603554510759736   3.272808738798641315  0.001686739445136842   8.792018363144268989 -0.080916815065622899
100 0.000008,  5.519209624345627674 -0.082603554510759736   3.272808738798641315  0.001686739445136842   8.792018363144268989 -0.080916815065622899
10 0.000001,  3.107137982054414493 -0.098907158413865631   3.617428619525516531  0.000388457362879129   6.724566601579931024 -0.098518701050986507
10 0.000001,  3.107137982054414493 -0.098907158413865631   3.617428619525521860  0.000388457362879224   6.724566601579936354 -0.098518701050986410
